,filename,labels
0,C:\Users\nimza\Documents\dd\fakes\2560.jpg,1
1,C:\Users\nimza\Documents\dd\fakes\8575.jpg,1
2,C:\Users\nimza\Documents\dd\fakes\4245.jpg,1
3,C:\Users\nimza\Documents\dd\fakes\0216.jpg,1
4,C:\Users\nimza\Documents\dd\fakes\14991.jpg,1
5,C:\Users\nimza\Documents\dd\fakes\10365.jpg,1
6,C:\Users\nimza\Documents\dd\real\1925.jpg,0
7,C:\Users\nimza\Documents\dd\real\10080.jpg,0
8,C:\Users\nimza\Documents\dd\fakes\18847.jpg,1
9,C:\Users\nimza\Documents\dd\fakes\12662.jpg,1
10,C:\Users\nimza\Documents\dd\fakes\8158.jpg,1
11,C:\Users\nimza\Documents\dd\real\20597.jpg,0
12,C:\Users\nimza\Documents\dd\fakes\21210.jpg,1
13,C:\Users\nimza\Documents\dd\real\6636.jpg,0
14,C:\Users\nimza\Documents\dd\fakes\19382.jpg,1
15,C:\Users\nimza\Documents\dd\real\0681.jpg,0
16,C:\Users\nimza\Documents\dd\fakes\12575.jpg,1
17,C:\Users\nimza\Documents\dd\real\1909.jpg,0
18,C:\Users\nimza\Documents\dd\fakes\17762.jpg,1
19,C:\Users\nimza\Documents\dd\fakes\0314.jpg,1
20,C:\Users\nimza\Documents\dd\real\15434.jpg,0
21,C:\Users\nimza\Documents\dd\fakes\2992.jpg,1
22,C:\Users\nimza\Documents\dd\fakes\17941.jpg,1
23,C:\Users\nimza\Documents\dd\real\8497.jpg,0
24,C:\Users\nimza\Documents\dd\fakes\11486.jpg,1
25,C:\Users\nimza\Documents\dd\fakes\2060.jpg,1
26,C:\Users\nimza\Documents\dd\real\19687.jpg,0
27,C:\Users\nimza\Documents\dd\real\9556.jpg,0
28,C:\Users\nimza\Documents\dd\fakes\7787.jpg,1
29,C:\Users\nimza\Documents\dd\real\16338.jpg,0
30,C:\Users\nimza\Documents\dd\real\9724.jpg,0
31,C:\Users\nimza\Documents\dd\real\5695.jpg,0
32,C:\Users\nimza\Documents\dd\real\2493.jpg,0
33,C:\Users\nimza\Documents\dd\real\10584.jpg,0
34,C:\Users\nimza\Documents\dd\fakes\11238.jpg,1
35,C:\Users\nimza\Documents\dd\real\1895.jpg,0
36,C:\Users\nimza\Documents\dd\fakes\10126.jpg,1
37,C:\Users\nimza\Documents\dd\real\10303.jpg,0
38,C:\Users\nimza\Documents\dd\real\18652.jpg,0
39,C:\Users\nimza\Documents\dd\real\20176.jpg,0
40,C:\Users\nimza\Documents\dd\real\11107.jpg,0
41,C:\Users\nimza\Documents\dd\fakes\2980.jpg,1
42,C:\Users\nimza\Documents\dd\real\4424.jpg,0
43,C:\Users\nimza\Documents\dd\real\7389.jpg,0
44,C:\Users\nimza\Documents\dd\fakes\12322.jpg,1
45,C:\Users\nimza\Documents\dd\fakes\19307.jpg,1
46,C:\Users\nimza\Documents\dd\fakes\18193.jpg,1
47,C:\Users\nimza\Documents\dd\fakes\14406.jpg,1
48,C:\Users\nimza\Documents\dd\real\5115.jpg,0
49,C:\Users\nimza\Documents\dd\real\21013.jpg,0
50,C:\Users\nimza\Documents\dd\fakes\15930.jpg,1
51,C:\Users\nimza\Documents\dd\real\10549.jpg,0
52,C:\Users\nimza\Documents\dd\fakes\9028.jpg,1
53,C:\Users\nimza\Documents\dd\real\14442.jpg,0
